ts,chip0_aicore,chip0_aicube,chip0_aivector,chip0_hbm_use,chip0_hbm_bw,chip0_npu_util
1788254014.109,0,0,0,86,0,0
1788254016.026,0,0,0,86,0,0
1788254018.052,40,40,4,86,0,68
1788254020.017,50,40,7,86,50,72
1788254021.960,45,60,2,86,46,37
1788254024.017,69,60,3,86,74,79
1788254025.969,72,60,3,86,74,89
1788254027.888,64,56,8,86,33,86
1788254030.041,66,59,8,86,65,82
1788254031.988,67,54,9,86,67,82
1788254034.029,66,56,10,86,59,96
1788254035.974,81,64,14,86,65,89
1788254038.013,85,63,16,86,74,96
1788254039.946,86,62,24,86,67,93
1788254041.904,83,63,20,86,65,96
1788254043.972,85,55,21,86,63,93
1788254045.926,86,58,23,86,64,96
1788254047.917,91,60,25,86,63,93
1788254050.109,88,58,26,86,63,86
1788254052.286,90,60,28,86,62,86
1788254054.244,85,60,28,86,62,96
1788254056.336,87,59,28,86,63,96
1788254058.280,84,51,23,86,66,79
1788254060.439,92,63,27,86,64,96
1788254062.403,94,66,29,86,64,96
1788254064.381,67,60,25,86,67,82
1788254066.438,91,63,26,86,69,96
1788254068.390,78,57,26,86,65,82
1788254070.391,94,55,27,86,55,86
1788254072.332,96,49,25,86,55,89
1788254074.478,61,53,26,86,54,86
1788254076.415,93,67,29,86,64,89
1788254078.346,100,67,35,86,64,93
1788254080.408,99,67,28,86,56,89
1788254082.383,95,50,34,86,60,93
1788254084.347,94,63,35,86,60,93
1788254086.418,94,48,32,86,57,86
1788254088.397,100,59,35,86,55,93
1788254090.342,100,66,34,86,55,93
1788254092.460,100,67,32,86,57,89
1788254094.401,100,62,36,86,60,96
1788254096.355,100,64,33,86,61,82
1788254098.422,98,58,35,86,61,82
1788254100.337,100,60,40,86,64,96
1788254102.300,100,65,35,86,64,93
1788254104.236,100,61,38,86,63,89
1788254106.196,100,65,36,86,63,93
