time,Qwen2.5-3B_weight_pages,Qwen2.5-3B_kv_pages,Qwen2.5-7B#0_weight_pages,Qwen2.5-7B#0_kv_pages,activation_pages,total_pages,total_gb
17:13:36,3250,1152,7273,896,107,12678,24.762
17:13:37,3250,1152,7273,896,107,12678,24.762
17:13:38,3250,1224,7273,896,149,12792,24.984
17:13:39,3250,1224,7273,896,149,12792,24.984
17:13:40,3250,1224,7273,896,172,12815,25.029
17:13:41,3250,1224,7273,896,172,12815,25.029
17:13:42,3250,1224,7273,952,233,12932,25.258
17:13:43,3250,1224,7273,952,234,12933,25.26
17:13:44,3250,1224,7273,952,234,12933,25.26
17:13:45,3250,1224,7273,952,234,12933,25.26
17:13:46,3250,1224,7273,952,233,12932,25.258
17:13:47,3250,1224,7273,952,260,12959,25.311
17:13:48,3250,1224,7273,1008,278,13033,25.455
17:13:49,3250,1224,7273,1008,280,13035,25.459
17:13:50,3250,1224,7273,1064,282,13093,25.572
17:13:51,3250,1224,7273,1064,283,13094,25.574
17:13:52,3250,1224,7273,1120,284,13151,25.686
17:13:53,3250,1224,7273,1176,286,13209,25.799
17:13:54,3250,1224,7273,1232,287,13266,25.91
17:13:55,3250,1224,7273,1232,287,13266,25.91
17:13:56,3250,1224,7273,1288,273,13308,25.992
17:13:57,3250,1224,7273,1288,288,13323,26.021
17:13:58,3250,1224,7273,1344,293,13384,26.141
17:13:59,3250,1296,7273,1344,297,13460,26.289
17:14:00,3250,1296,7273,1400,306,13525,26.416
17:14:01,3250,1368,7273,1400,300,13591,26.545
17:14:02,3250,1440,7273,1400,295,13658,26.676
17:14:03,3250,1440,7273,1456,292,13711,26.779
17:14:04,3250,1440,7273,1512,293,13768,26.891
17:14:05,3250,1512,7273,1512,304,13851,27.053
17:14:06,3250,1512,7273,1512,302,13849,27.049
17:14:07,3250,1512,7273,1512,305,13852,27.055
17:14:08,3250,1584,7273,1568,302,13977,27.299
17:14:09,3250,1656,7273,1568,303,14050,27.441
17:14:10,3250,1656,7273,1624,303,14106,27.551
17:14:11,3250,1728,7273,1624,305,14180,27.695
17:14:12,3250,1728,7273,1680,302,14233,27.799
17:14:13,3250,1728,7273,1736,311,14298,27.926
17:14:14,3250,1800,7273,1792,302,14417,28.158
17:14:15,3250,1800,7273,1792,312,14427,28.178
17:14:16,3250,1872,7273,1848,313,14556,28.43
17:14:17,3250,1872,7273,1904,305,14604,28.523
17:14:18,3250,1872,7273,1904,308,14607,28.529
17:14:19,3250,1944,7273,1960,316,14743,28.795
17:14:20,3250,2016,7273,1960,326,14825,28.955
17:14:21,3250,2016,7273,2016,323,14878,29.059
17:14:22,3250,2016,7273,2072,325,14936,29.172
17:14:23,3250,2088,7273,2072,312,14995,29.287
17:14:24,3250,2160,7273,2128,322,15133,29.557
17:14:25,3250,2160,7273,2128,329,15140,29.57
17:14:26,3250,2232,7273,2184,312,15251,29.787
17:14:27,3250,2232,7273,2184,320,15259,29.803
17:14:28,3250,2304,7273,2240,315,15382,30.043
17:14:29,3250,2304,7273,2296,314,15437,30.15
17:14:30,3250,2376,7273,2296,312,15507,30.287
17:14:31,3250,2376,7273,2296,343,15538,30.348
17:14:32,3250,2448,7273,2352,325,15648,30.562
17:14:33,3250,2448,7273,2408,333,15712,30.688
17:14:34,3250,2520,7273,2464,314,15821,30.9
17:14:35,3250,2520,7273,2520,325,15888,31.031
17:14:36,3250,2592,7273,2576,331,16022,31.293
17:14:37,3250,2664,7273,2632,341,16160,31.562
17:14:38,3250,2664,7273,2632,331,16150,31.543
17:14:39,3250,2736,7273,2688,335,16282,31.801
17:14:40,3250,2736,7273,2744,333,16336,31.906
17:14:41,3250,2808,7273,2744,333,16408,32.047
17:14:42,3250,2880,7273,2856,348,16607,32.436
17:14:43,3250,2880,7273,2912,322,16637,32.494
17:14:44,3250,2952,7273,2912,335,16722,32.66
17:14:45,3250,2952,7273,2968,336,16779,32.771
17:14:46,3250,3024,7273,3024,322,16893,32.994
17:14:47,3250,3024,7273,3024,336,16907,33.021
17:14:48,3250,3096,7273,3080,349,17048,33.297
17:14:49,3250,3168,7273,3080,356,17127,33.451
17:14:50,3250,3240,7273,3136,339,17238,33.668
17:14:51,3250,3312,7273,3192,328,17355,33.896
17:14:52,3250,3312,7273,3248,339,17422,34.027
17:14:53,3250,3384,7273,3304,331,17542,34.262
17:14:54,3250,3384,7273,3360,335,17602,34.379
17:14:55,3250,3456,7273,3416,356,17751,34.67
17:14:56,3250,3528,7273,3472,345,17868,34.898
17:14:57,3250,3600,7273,3528,347,17998,35.152
17:14:58,3250,3600,7273,3584,331,18038,35.23
17:14:59,3250,3672,7273,3584,334,18113,35.377
17:15:00,3250,3744,7273,3640,367,18274,35.691
17:15:01,3250,3816,7273,3696,365,18400,35.938
17:15:02,3250,3888,7273,3752,364,18527,36.186
17:15:03,3250,3888,7273,3864,336,18611,36.35
17:15:04,3250,3960,7273,3920,336,18739,36.6
17:15:05,3250,4032,7273,3920,338,18813,36.744
17:15:06,3250,4104,7273,3976,340,18943,36.998
