ts,chip0_aicore,chip0_aicube,chip0_aivector,chip0_hbm_use,chip0_hbm_bw,chip0_npu_util
1788255518.134,0,0,0,86,0,0
1788255520.084,0,0,0,86,0,0
1788255522.153,53,43,5,86,0,68
1788255524.099,56,42,13,86,52,82
1788255526.091,73,61,3,86,48,93
1788255528.037,72,61,3,86,76,89
1788255529.966,72,61,3,86,77,89
1788255531.982,65,59,9,86,73,89
1788255533.956,67,55,9,86,58,79
1788255536.023,69,55,11,86,63,82
1788255538.007,81,63,15,86,64,93
1788255540.070,86,61,19,86,69,93
1788255542.027,86,56,22,86,58,93
1788255543.995,87,65,26,86,68,93
1788255546.198,90,54,26,86,68,100
1788255548.159,85,58,29,86,55,96
1788255550.120,87,56,26,86,67,89
1788255552.137,93,52,26,86,61,93
1788255554.091,93,64,26,86,62,100
1788255556.151,90,64,28,86,65,96
1788255558.122,84,56,28,86,65,89
1788255560.057,86,61,30,86,60,96
1788255562.130,97,65,31,86,57,96
1788255564.111,98,60,33,86,62,89
1788255566.087,100,66,35,86,59,89
1788255568.408,100,65,33,86,60,96
1788255570.367,86,59,34,86,57,93
1788255572.334,100,62,36,86,57,100
1788255574.375,100,59,36,86,59,96
1788255576.329,100,67,31,86,59,89
1788255578.398,100,62,32,86,63,89
1788255580.351,100,57,35,86,62,96
1788255582.316,100,72,36,86,62,89
1788255584.362,100,64,34,86,60,93
1788255586.329,99,66,33,86,60,89
1788255588.365,100,72,36,86,63,89
1788255590.296,100,68,39,86,63,89
1788255592.241,100,63,40,86,59,89
1788255594.249,100,65,35,86,60,89
1788255596.213,100,68,36,86,58,86
1788255598.292,100,64,35,86,57,93
1788255600.247,100,65,36,86,63,93
1788255602.206,100,67,38,86,61,93
1788255604.283,100,72,42,86,61,89
1788255606.243,100,65,41,86,62,89
1788255608.254,100,69,39,86,62,93
1788255610.274,100,71,38,86,59,96
