time,Qwen2.5-3B_weight_pages,Qwen2.5-3B_kv_pages,Qwen2.5-7B#0_weight_pages,Qwen2.5-7B#0_kv_pages,activation_pages,total_pages,total_gb
17:38:40,3250,1152,7273,896,107,12678,24.762
17:38:41,3250,1152,7273,896,107,12678,24.762
17:38:42,3250,1224,7273,896,149,12792,24.984
17:38:43,3250,1224,7273,896,150,12793,24.986
17:38:44,3250,1224,7273,896,172,12815,25.029
17:38:45,3250,1224,7273,896,172,12815,25.029
17:38:46,3250,1224,7273,952,233,12932,25.258
17:38:47,3250,1224,7273,952,233,12932,25.258
17:38:48,3250,1224,7273,952,233,12932,25.258
17:38:49,3250,1224,7273,952,234,12933,25.26
17:38:50,3250,1224,7273,952,234,12933,25.26
17:38:51,3250,1224,7273,1008,279,13034,25.457
17:38:52,3250,1224,7273,1008,280,13035,25.459
17:38:53,3250,1224,7273,1064,280,13091,25.568
17:38:54,3250,1224,7273,1120,285,13152,25.688
17:38:55,3250,1224,7273,1120,185,13052,25.492
17:38:56,3250,1224,7273,1176,287,13210,25.801
17:38:57,3250,1224,7273,1232,272,13251,25.881
17:38:58,3250,1224,7273,1288,285,13320,26.016
17:38:59,3250,1296,7273,1288,300,13407,26.186
17:39:00,3250,1296,7273,1344,297,13460,26.289
17:39:01,3250,1368,7273,1400,293,13584,26.531
17:39:02,3250,1368,7273,1400,294,13585,26.533
17:39:03,3250,1440,7273,1456,293,13712,26.781
17:39:04,3250,1440,7273,1456,293,13712,26.781
17:39:05,3250,1512,7273,1512,307,13854,27.059
17:39:06,3250,1584,7273,1568,312,13987,27.318
17:39:07,3250,1584,7273,1624,303,14034,27.41
17:39:08,3250,1656,7273,1624,197,14000,27.344
17:39:09,3250,1656,7273,1624,317,14120,27.578
17:39:10,3250,1728,7273,1680,311,14242,27.816
17:39:11,3250,1728,7273,1680,312,14243,27.818
17:39:12,3250,1800,7273,1736,313,14372,28.07
17:39:13,3250,1800,7273,1736,324,14383,28.092
17:39:14,3250,1872,7273,1792,324,14511,28.342
17:39:15,3250,1944,7273,1848,328,14643,28.6
17:39:16,3250,2016,7273,1904,327,14770,28.848
17:39:17,3250,2016,7273,1904,330,14773,28.854
17:39:18,3250,2016,7273,1960,331,14830,28.965
17:39:19,3250,2088,7273,2072,323,15006,29.309
17:39:20,3250,2088,7273,2128,326,15065,29.424
17:39:21,3250,2160,7273,2184,327,15194,29.676
17:39:22,3250,2232,7273,2184,317,15256,29.797
17:39:23,3250,2304,7273,2240,318,15385,30.049
17:39:24,3250,2376,7273,2296,342,15537,30.346
17:39:25,3250,2376,7273,2352,340,15591,30.451
17:39:26,3250,2448,7273,2408,342,15721,30.705
17:39:27,3250,2520,7273,2408,344,15795,30.85
17:39:28,3250,2520,7273,2464,331,15838,30.934
17:39:29,3250,2592,7273,2520,334,15969,31.189
17:39:30,3250,2664,7273,2520,336,16043,31.334
17:39:31,3250,2736,7273,2576,351,16186,31.613
17:39:32,3250,2808,7273,2688,338,16357,31.947
17:39:33,3250,2808,7273,2688,339,16358,31.949
17:39:34,3250,2880,7273,2744,325,16472,32.172
17:39:35,3250,2952,7273,2744,356,16575,32.373
17:39:36,3250,3024,7273,2800,359,16706,32.629
17:39:37,3250,3024,7273,2856,361,16764,32.742
17:39:38,3250,3168,7273,2912,345,16948,33.102
17:39:39,3250,3240,7273,2968,361,17092,33.383
17:39:40,3250,3240,7273,3080,372,17215,33.623
17:39:41,3250,3312,7273,3080,350,17265,33.721
17:39:42,3250,3456,7273,3080,350,17409,34.002
17:39:43,3250,3528,7273,3192,367,17610,34.395
17:39:44,3250,3528,7273,3248,369,17668,34.508
17:39:45,3250,3600,7273,3304,353,17780,34.727
17:39:46,3250,3672,7273,3360,369,17924,35.008
17:39:47,3250,3744,7273,3416,372,18055,35.264
17:39:48,3250,3816,7273,3416,272,18027,35.209
17:39:49,3250,3888,7273,3472,340,18223,35.592
17:39:50,3250,3960,7273,3528,356,18367,35.873
17:39:51,3250,4032,7273,3584,342,18481,36.096
17:39:52,3250,4104,7273,3640,379,18646,36.418
17:39:53,3250,4176,7273,3640,365,18704,36.531
17:39:54,3250,4248,7273,3696,344,18811,36.74
17:39:55,3250,4320,7273,3752,360,18955,37.021
17:39:56,3250,4392,7273,3752,346,19013,37.135
17:39:57,3250,4464,7273,3752,387,19126,37.355
17:39:58,3250,4464,7273,3808,344,19139,37.381
17:39:59,3250,4536,7273,3864,343,19266,37.629
17:40:00,3250,4608,7273,3920,382,19433,37.955
17:40:01,3250,4680,7273,3976,383,19562,38.207
17:40:02,3250,4752,7273,4032,348,19655,38.389
17:40:03,3250,4824,7273,4088,360,19795,38.662
17:40:04,3250,4896,7273,4144,387,19950,38.965
17:40:05,3250,4968,7273,4200,397,20088,39.234
17:40:06,3250,4968,7273,4256,374,20121,39.299
17:40:07,3250,5112,7273,4312,374,20321,39.689
17:40:08,3250,5184,7273,4368,397,20472,39.984
17:40:09,3250,5256,7273,4424,350,20553,40.143
17:40:10,3250,5328,7273,4480,365,20696,40.422
