time,Qwen2.5-3B_weight_pages,Qwen2.5-3B_kv_pages,Qwen2.5-7B#0_weight_pages,Qwen2.5-7B#0_kv_pages,activation_pages,total_pages,total_gb
15:12:29,3250,1152,7273,896,107,12678,24.762
15:12:30,3250,1152,7273,896,107,12678,24.762
15:12:31,3250,1152,7273,896,107,12678,24.762
15:12:32,3250,1224,7273,896,149,12792,24.984
15:12:33,3250,1224,7273,896,149,12792,24.984
15:12:34,3250,1224,7273,896,172,12815,25.029
15:12:35,3250,1224,7273,896,172,12815,25.029
15:12:36,3250,1224,7273,952,234,12933,25.26
15:12:37,3250,1224,7273,952,234,12933,25.26
15:12:38,3250,1224,7273,952,234,12933,25.26
15:12:39,3250,1224,7273,952,234,12933,25.26
15:12:40,3250,1224,7273,952,234,12933,25.26
15:12:41,3250,1224,7273,1008,266,13021,25.432
15:12:42,3250,1224,7273,1008,279,13034,25.457
15:12:43,3250,1224,7273,1008,278,13033,25.455
15:12:44,3250,1224,7273,1008,280,13035,25.459
15:12:45,3250,1224,7273,1064,280,13091,25.568
15:12:46,3250,1224,7273,1064,281,13092,25.57
15:12:47,3250,1224,7273,1120,284,13151,25.686
15:12:48,3250,1224,7273,1176,284,13207,25.795
15:12:49,3250,1224,7273,1176,285,13208,25.797
15:12:50,3250,1224,7273,1232,286,13265,25.908
15:12:51,3250,1224,7273,1288,291,13326,26.027
15:12:52,3250,1224,7273,1288,288,13323,26.021
15:12:53,3250,1224,7273,1288,286,13321,26.018
15:12:54,3250,1224,7273,1344,288,13379,26.131
15:12:55,3250,1224,7273,1344,278,13369,26.111
15:12:56,3250,1224,7273,1400,289,13436,26.242
15:12:57,3250,1224,7273,1400,294,13441,26.252
15:12:58,3250,1296,7273,1400,293,13512,26.391
15:12:59,3250,1296,7273,1400,291,13510,26.387
15:13:00,3250,1368,7273,1400,291,13582,26.527
15:13:01,3250,1368,7273,1456,296,13643,26.646
15:13:02,3250,1440,7273,1456,297,13716,26.789
15:13:03,3250,1440,7273,1456,294,13713,26.783
15:13:04,3250,1440,7273,1512,296,13771,26.896
15:13:05,3250,1512,7273,1512,297,13844,27.039
15:13:06,3250,1512,7273,1568,302,13905,27.158
15:13:07,3250,1512,7273,1568,302,13905,27.158
15:13:08,3250,1512,7273,1624,304,13963,27.271
15:13:09,3250,1584,7273,1624,304,14035,27.412
15:13:10,3250,1584,7273,1624,307,14038,27.418
15:13:11,3250,1584,7273,1680,308,14095,27.529
15:13:12,3250,1656,7273,1680,302,14161,27.658
15:13:13,3250,1728,7273,1736,309,14296,27.922
15:13:14,3250,1728,7273,1736,307,14294,27.918
15:13:15,3250,1728,7273,1736,302,14289,27.908
15:13:16,3250,1800,7273,1736,307,14366,28.059
15:13:17,3250,1800,7273,1736,305,14364,28.055
15:13:18,3250,1800,7273,1792,308,14423,28.17
15:13:19,3250,1872,7273,1792,302,14489,28.299
15:13:20,3250,1872,7273,1792,312,14499,28.318
15:13:21,3250,1872,7273,1848,314,14557,28.432
15:13:22,3250,1944,7273,1904,307,14678,28.668
15:13:23,3250,1944,7273,1904,307,14678,28.668
15:13:24,3250,1944,7273,1904,310,14681,28.674
15:13:25,3250,1944,7273,1960,309,14736,28.781
15:13:26,3250,2016,7273,1960,319,14818,28.941
15:13:27,3250,2088,7273,1960,306,14877,29.057
15:13:28,3250,2088,7273,1960,310,14881,29.064
15:13:29,3250,2088,7273,1960,309,14880,29.062
15:13:30,3250,2088,7273,2016,308,14935,29.17
15:13:31,3250,2160,7273,2016,317,15016,29.328
15:13:32,3250,2160,7273,2016,318,15017,29.33
15:13:33,3250,2232,7273,2072,313,15140,29.57
15:13:34,3250,2232,7273,2128,332,15215,29.717
15:13:35,3250,2232,7273,2184,317,15256,29.797
15:13:36,3250,2232,7273,2184,321,15260,29.805
15:13:37,3250,2304,7273,2240,311,15378,30.035
15:13:38,3250,2304,7273,2296,311,15434,30.145
15:13:39,3250,2376,7273,2352,328,15579,30.428
15:13:40,3250,2376,7273,2408,325,15632,30.531
15:13:41,3250,2376,7273,2408,311,15618,30.504
15:13:42,3250,2448,7273,2464,327,15762,30.785
15:13:43,3250,2448,7273,2520,329,15820,30.898
15:13:44,3250,2448,7273,2520,315,15806,30.871
15:13:45,3250,2520,7273,2520,315,15878,31.012
15:13:46,3250,2520,7273,2576,328,15947,31.146
15:13:47,3250,2520,7273,2632,321,15996,31.242
15:13:48,3250,2520,7273,2688,325,16056,31.359
15:13:49,3250,2520,7273,2688,331,16062,31.371
15:13:50,3250,2592,7273,2744,333,16192,31.625
15:13:51,3250,2592,7273,2800,316,16231,31.701
15:13:52,3250,2592,7273,2800,337,16252,31.742
15:13:53,3250,2592,7273,2856,331,16302,31.84
15:13:54,3250,2664,7273,2912,335,16434,32.098
15:13:55,3250,2664,7273,2968,326,16481,32.189
15:13:56,3250,2736,7273,3024,336,16619,32.459
15:13:57,3250,2736,7273,3024,322,16605,32.432
15:13:58,3250,2736,7273,3080,342,16681,32.58
15:13:59,3250,2808,7273,3080,341,16752,32.719
15:14:00,3250,2880,7273,3136,332,16871,32.951
