ts,chip0_aicore,chip0_aicube,chip0_aivector,chip0_hbm_use,chip0_hbm_bw,chip0_npu_util
1788246747.772,0,0,0,86,0,0
1788246749.713,0,0,0,86,0,0
1788246751.664,53,43,6,86,0,82
1788246753.752,58,43,13,86,51,89
1788246755.677,74,63,3,86,48,86
1788246757.635,75,62,3,86,76,89
1788246759.626,74,61,3,86,76,89
1788246761.582,70,59,8,86,68,93
1788246763.652,71,60,9,86,71,93
1788246765.603,71,61,10,86,69,89
1788246767.551,69,57,12,86,60,82
1788246769.613,71,59,10,86,65,89
1788246771.557,73,59,12,86,62,96
1788246773.510,82,67,15,86,65,93
1788246775.582,89,64,16,86,76,100
1788246777.522,84,65,19,86,74,96
1788246779.540,85,65,19,86,69,96
1788246781.497,85,63,20,86,68,96
1788246783.450,86,64,21,86,69,93
1788246785.510,85,62,22,86,71,93
1788246787.465,91,61,25,86,67,93
1788246789.430,88,65,23,86,65,100
1788246791.550,89,63,25,86,68,96
1788246793.514,91,64,27,86,64,96
1788246795.483,98,62,29,86,65,96
1788246797.567,96,62,27,86,66,100
1788246799.551,89,64,27,86,64,100
1788246801.559,96,60,27,86,65,100
1788246803.496,89,62,27,86,64,89
1788246805.428,92,58,29,86,60,93
1788246807.497,93,59,28,86,64,96
1788246809.477,98,60,29,86,64,96
1788246811.442,88,58,26,86,65,93
1788246813.564,94,61,29,86,66,93
1788246815.511,90,58,29,86,66,96
1788246817.477,90,58,28,86,68,96
1788246819.407,95,58,29,86,63,96
1788246821.353,98,63,29,86,63,93
1788246823.285,95,62,27,86,64,93
1788246825.253,95,62,28,86,63,96
1788246827.206,87,63,28,86,58,100
1788246829.138,96,63,29,86,66,100
1788246831.189,99,63,28,86,63,96
1788246833.155,100,60,33,86,62,100
1788246835.120,86,60,30,86,59,96
1788246837.188,96,58,35,86,65,93
1788246839.155,99,66,31,86,60,96
