wall_time_ns,elapsed_s,gpu_index,physical_gpu_index,gpu_uuid,gpu_name,utilization_gpu_pct,utilization_mem_pct,memory_used_mb,memory_free_mb,memory_total_mb,memory_used_pct,power_w
1788255198777455798,3.231957,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,29,17,55617.00,26303.00,81920.00,67.8918,143.60
1788255198991486094,3.445987,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.03
1788255198991486094,3.445987,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,26,15,55617.00,26303.00,81920.00,67.8918,156.46
1788255199199797929,3.654298,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.03
1788255199199797929,3.654298,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,26,15,55617.00,26303.00,81920.00,67.8918,158.30
1788255199406518028,3.861018,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.29
1788255199406518028,3.861018,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,36,21,55617.00,26303.00,81920.00,67.8918,156.19
1788255199613256341,4.067757,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.03
1788255199613256341,4.067757,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,38,21,55617.00,26303.00,81920.00,67.8918,152.59
1788255199820723776,4.275225,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.29
1788255199820723776,4.275225,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,35,19,55617.00,26303.00,81920.00,67.8918,151.08
1788255200029455430,4.483956,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.03
1788255200029455430,4.483956,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,40,22,55617.00,26303.00,81920.00,67.8918,153.45
1788255200237259239,4.691760,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.03
1788255200237259239,4.691760,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,39,21,55617.00,26303.00,81920.00,67.8918,157.65
1788255200443882031,4.898383,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.03
1788255200443882031,4.898383,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,44,25,55617.00,26303.00,81920.00,67.8918,172.35
1788255200650500953,5.105001,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.03
1788255200650500953,5.105001,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,40,23,55617.00,26303.00,81920.00,67.8918,170.25
1788255200858859046,5.313360,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.29
1788255200858859046,5.313360,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,39,23,55617.00,26303.00,81920.00,67.8918,171.49
1788255201069469804,5.523970,0,2,GPU-cc78c145-d270-f184-90af-1b97451aa32b,NVIDIA A800-SXM4-80GB,0,0,56228.38,25691.62,81920.00,68.6382,83.03
1788255201069469804,5.523970,1,3,GPU-3bffd5d2-3e59-3525-6211-22749909c412,NVIDIA A800-SXM4-80GB,37,21,55617.00,26303.00,81920.00,67.8918,156.46
